# E_meas, sigma_obs(nb), sigma_err(nb)
3.11372353e+00,6.51944444e+01,3.00911681e-01
3.11409328e+00,6.45527778e+01,2.99427179e-01
3.11446303e+00,6.47055556e+01,2.99781299e-01
3.11483277e+00,6.51694444e+01,3.00853980e-01
3.11520252e+00,6.54611111e+01,3.01526466e-01
3.11557227e+00,6.52388889e+01,3.01014232e-01
3.11594202e+00,6.44555556e+01,2.99201613e-01
3.11631176e+00,6.38486111e+01,2.97789568e-01
3.11668151e+00,6.42333333e+01,2.98685391e-01
3.11705126e+00,6.39305556e+01,2.97980600e-01
3.11742101e+00,6.43666667e+01,2.98995231e-01
3.11779076e+00,6.48680556e+01,3.00157495e-01
3.11816050e+00,6.40819444e+01,2.98333204e-01
3.11853025e+00,6.45805556e+01,2.99491596e-01
3.11890000e+00,6.41875000e+01,2.98578810e-01
3.11890000e+00,6.41069444e+01,2.98391392e-01
3.15524667e+00,6.15138889e+01,2.92294298e-01
3.19159333e+00,5.97250000e+01,2.88012828e-01
3.22794000e+00,5.89388889e+01,2.86111111e-01
3.26428667e+00,5.70875000e+01,2.81581595e-01
3.30063333e+00,5.65263889e+01,2.80194349e-01
3.33698000e+00,5.50611111e+01,2.76538904e-01
3.37332667e+00,5.36250000e+01,2.72908715e-01
3.40967333e+00,5.30041667e+01,2.71324341e-01
3.44602000e+00,5.14527778e+01,2.67324132e-01
3.48236667e+00,5.08333333e+01,2.65710090e-01
3.51871333e+00,4.95888889e+01,2.62437529e-01
3.55506000e+00,4.80736111e+01,2.58396796e-01
3.59140667e+00,4.74458333e+01,2.56704092e-01
3.62775333e+00,4.66000000e+01,2.54405625e-01
3.66410000e+00,4.62166667e+01,2.53357090e-01
3.66410000e+00,4.53916667e+01,2.51085606e-01
3.66484576e+00,4.51347222e+01,2.50373949e-01
3.66559153e+00,4.56611111e+01,2.51829724e-01
3.66633729e+00,4.59680556e+01,2.52674735e-01
3.66708305e+00,4.54555556e+01,2.51262246e-01
3.66782881e+00,4.54083333e+01,2.51131698e-01
3.66857458e+00,4.54694444e+01,2.51300629e-01
3.66932034e+00,4.53791667e+01,2.51051031e-01
3.67006610e+00,4.56333333e+01,2.51753112e-01
3.67081186e+00,4.53638889e+01,2.51008767e-01
3.67155763e+00,4.55944444e+01,2.51645817e-01
3.67230339e+00,4.56472222e+01,2.51791421e-01
3.67304915e+00,4.53694444e+01,2.51024137e-01
3.67379492e+00,4.55819444e+01,2.51611320e-01
3.67454068e+00,4.52638889e+01,2.50731953e-01
3.67528644e+00,4.53638889e+01,2.51008767e-01
3.67603220e+00,4.50958333e+01,2.50266062e-01
3.67677797e+00,4.52833333e+01,2.50785802e-01
3.67752373e+00,4.53722222e+01,2.51031821e-01
3.67826949e+00,4.54125000e+01,2.51143219e-01
3.67901525e+00,4.54486111e+01,2.51243052e-01
3.67976102e+00,4.52138889e+01,2.50593431e-01
3.68050678e+00,4.57027778e+01,2.51944598e-01
3.68125254e+00,4.57013889e+01,2.51940769e-01
3.68199831e+00,4.53708333e+01,2.51027979e-01
3.68274407e+00,4.57180556e+01,2.51986705e-01
3.68348983e+00,4.56125000e+01,2.51695639e-01
3.68423559e+00,4.60347222e+01,2.52857893e-01
3.68498136e+00,4.60486111e+01,2.52896035e-01
3.68572712e+00,4.63722222e+01,2.53783105e-01
3.68647288e+00,4.66097222e+01,2.54432162e-01
3.68721864e+00,4.63097222e+01,2.53612024e-01
3.68796441e+00,4.61111111e+01,2.53067599e-01
3.68871017e+00,4.58611111e+01,2.52380640e-01
3.68945593e+00,4.56347222e+01,2.51756944e-01
3.69020169e+00,4.58833333e+01,2.52441779e-01
3.69094746e+00,4.53944444e+01,2.51093288e-01
3.69169322e+00,4.57291667e+01,2.52017324e-01
3.69243898e+00,4.53486111e+01,2.50966496e-01
3.69318475e+00,4.53416667e+01,2.50947279e-01
3.69393051e+00,4.49263889e+01,2.49795441e-01
3.69467627e+00,4.51958333e+01,2.50543391e-01
3.69542203e+00,4.47750000e+01,2.49374217e-01
3.69616780e+00,4.50708333e+01,2.50196682e-01
3.69691356e+00,4.42500000e+01,2.47907913e-01
3.69765932e+00,4.43083333e+01,2.48071264e-01
3.69840508e+00,4.45680556e+01,2.48797261e-01
3.69915085e+00,4.47930556e+01,2.49424492e-01
3.69989661e+00,4.49250000e+01,2.49791580e-01
3.70064237e+00,4.45763889e+01,2.48820520e-01
3.70138814e+00,4.46458333e+01,2.49014260e-01
3.70213390e+00,4.43152778e+01,2.48090703e-01
3.70287966e+00,4.47722222e+01,2.49366481e-01
3.70362542e+00,4.43888889e+01,2.48296666e-01
3.70437119e+00,4.45000000e+01,2.48607232e-01
3.70511695e+00,4.47750000e+01,2.49374217e-01
3.70586271e+00,4.43055556e+01,2.48063487e-01
3.70660847e+00,4.41916667e+01,2.47744455e-01
3.70735424e+00,4.46041667e+01,2.48898034e-01
3.70810000e+00,4.44083333e+01,2.48351043e-01
3.70810000e+00,4.45333333e+01,2.48700325e-01
3.72648000e+00,4.40486111e+01,2.47343135e-01
3.74486000e+00,4.35777778e+01,2.46017665e-01
3.76324000e+00,4.31291667e+01,2.44748075e-01
3.78162000e+00,4.29541667e+01,2.44251028e-01
3.80000000e+00,4.20513889e+01,2.41670658e-01
